collision_id,q_value,retain_fraction,bh_probability
1,0.420739304998,0.656227274468,0.14103696525
2,1.0,0.4625,0.1
3,0.462345960749,0.654596837637,0.103117298037
4,0.420739304998,0.656227274468,0.14103696525
5,0.451278260781,0.467860856977,0.102563913039
6,0.451278260781,0.467860856977,0.102563913039
7,0.66462551695,0.464022152639,0.0832312758475
8,0.420739304998,0.656227274468,0.14103696525
9,1.0,0.4625,0.1
10,0.760709242115,0.648469696585,0.15
11,1.0,0.4625,0.1
12,0.860442293129,0.462711011687,0.0930221146565
13,1.0,0.4625,0.1
14,0.482995444994,0.467057643718,0.10414977225
15,1.0,0.4625,0.1
16,1.0,0.4625,0.1
17,0.626856435644,0.65026193056,0.0813428217822
18,0.604442415944,0.650691026901,0.15
