collision_id,q_value,retain_fraction,bh_probability
1,0.420739304998,0.656227274468,0.14103696525
2,1.0,0.4625,0.1
3,1.0,0.4625,0.1
4,0.451278260781,0.467860856977,0.102563913039
5,1.0,0.4625,0.1
6,0.420739304998,0.656227274468,0.14103696525
7,1.0,0.4625,0.1
8,0.420739304998,0.656227274468,0.14103696525
9,0.976061865125,0.462505503143,0.15
10,0.764913163856,0.648431470791,0.0882456581928
11,1.0,0.4625,0.1
12,1.0,0.4625,0.1
13,1.57966110857,1.0,1.0
14,0.257640631455,1.0,1.0
15,0.204860295549,1.0,1.0
16,0.170028256642,1.0,1.0
17,0.271273165425,1.0,1.0
