time_Myr,N_stars,N_BH,N_NS,N_WD,N_Merged,N_VMS,COM_x_pc,COM_y_pc,COM_z_pc,orbital_radius_pc,velocity_kms,cluster_radius_pc,velocity_dispersion_kms,avg_q,avg_friction_accel_km_s_Myr,avg_gas_density_Msun_pc3
0.0,856,0,0,0,0,0,100.000547667,0.0011881281281,-0.000419080866719,100.000547675,55.0526092545,0.150229615818,6.61235830897,0.0,0.0,1346.01618608
0.001,856,0,0,0,0,0,100.000570854,0.0572841885005,0.00443586179094,100.000587359,55.0525605688,0.15262365634,6.61513130866,0.0,0.00163972316172,1346.00939181
0.001,856,0,0,0,0,0,100.000570854,0.0572841885005,0.00443586179094,100.000587359,55.0525605688,0.15262365634,6.61513130866,0.0,0.00163972316172,1346.00939181
0.002,856,0,0,0,0,0,100.000523241,0.113380208433,0.009290800953,100.000587948,55.0525599102,0.149236204875,6.63701125546,0.0,0.00164107799735,1346.00989213
0.003,856,0,0,0,0,0,100.000404844,0.169469068071,0.0141451199658,100.000549442,55.0526072811,0.149253299486,6.6566771929,0.0,0.00164665024028,1346.00792935
0.004,856,0,0,0,0,0,100.000215656,0.225557807858,0.0189994277063,100.000471842,55.052702684,0.150111832895,6.66610784922,0.0,0.00165071978002,1345.97246607
0.005,856,0,0,0,0,0,99.999955613,0.281660548294,0.023854945808,100.000355121,55.0528461135,0.149435101339,6.63862312382,0.0,0.00165075380063,1345.90713114
0.006,856,0,0,0,0,0,99.999624845,0.337748929249,0.0287092193375,100.000199338,55.0530375695,0.152357755194,6.64602973306,0.0,0.00165024654364,1345.83225414
0.007,856,0,0,0,0,0,99.9992232867,0.393837071223,0.0335634699282,100.00000446,55.0532770564,0.151999253676,6.63566984913,0.0,0.00164397861151,1345.74732519
0.008,856,0,0,0,0,0,99.9987509382,0.44992493451,0.0384176936915,99.9997704875,55.0535645738,0.150753856229,6.6403788296,0.0,0.00164506211849,1345.64275972
0.009,856,0,0,0,0,0,99.9982077995,0.506012479403,0.0432718867386,99.9994974198,55.0539001212,0.151468632084,6.58262375431,0.0,0.00164487775857,1345.52043707
0.01,856,0,0,0,0,0,99.9975937933,0.562106746123,0.0481266579249,99.9991852197,55.0542836953,0.152307617236,6.52689486537,0.0,0.00164666649193,1345.3816869
0.011,856,0,0,0,0,0,99.996908988,0.618200614979,0.052981390612,99.9988339241,55.0547152928,0.152035201147,6.51018294893,0.0,0.00164392482046,1345.21813456
0.012,856,0,0,0,0,0,99.9961534792,0.674286966431,0.0578354681762,99.9984435803,55.0551949152,0.151879321054,6.48138499857,0.0,0.00164359367281,1345.05346239
0.013,856,0,0,0,0,0,99.9953271804,0.730372840648,0.0626894994673,99.9980141422,55.0557225637,0.154194142709,6.42050561415,0.0,0.00164725971404,1344.88143826
0.014,856,0,0,0,0,0,99.9944298653,0.786472357314,0.0675447060397,99.9975454956,55.0562982322,0.15234562265,6.38113893957,0.0,0.00164238933881,1344.70665097
0.015,856,0,0,0,0,0,99.993462109,0.842550078296,0.0723980204013,99.9970379394,55.0569219217,0.151137022382,6.34911837637,0.0,0.0016423288256,1344.54016937
0.016,856,0,0,0,0,0,99.9924233096,0.898641362085,0.0772525022442,99.9964911563,55.0575936332,0.149469872946,6.30993175626,0.0,0.00164148292333,1344.37116833
0.017,856,0,0,0,0,0,99.9913138516,0.954724930235,0.0821063095486,99.9959053507,55.0583133626,0.150172636769,6.29380159783,0.0,0.00164291596623,1344.17031363
0.018,856,0,0,0,0,0,99.990133604,1.01080782259,0.086960051133,99.9952804519,55.0590811107,0.148825963401,6.28669709098,0.0,0.00165406811853,1343.96102726
0.019,856,0,0,0,0,0,99.9888824879,1.06689353907,0.0918140294498,99.9946164191,55.0598968745,0.146472970655,6.3953344815,0.0,0.00166317930241,1343.74219677
0.02,856,0,0,0,0,0,99.9875605777,1.12297850028,0.0966679342642,99.9939132932,55.0607606509,0.144708206543,6.5691529504,0.0,0.00167007012432,1343.53157065
0.021,856,0,0,0,0,0,99.9861677858,1.17906620604,0.101522068019,99.9931710285,55.0616724369,0.146660473385,6.71801177937,0.0,0.00166707157113,1343.32677061
0.022,856,0,0,0,0,0,99.9847043803,1.23514599802,0.106375507834,99.9923897674,55.0626322317,0.145827186187,6.9195900685,0.0,0.00166621956478,1343.11959346
