time_Myr,N_stars,N_BH,N_NS,N_WD,N_Merged,N_VMS,COM_x_pc,COM_y_pc,COM_z_pc,orbital_radius_pc,velocity_kms,cluster_radius_pc,velocity_dispersion_kms,avg_q,avg_friction_accel_km_s_Myr,avg_gas_density_Msun_pc3
0.0,856,0,0,0,0,0,99.9999675199,0.00102870003744,-0.00110709388124,99.9999675313,54.9819458828,0.156617580031,6.81191103819,0.0,0.0,1345.87584963
0.001,856,0,0,0,0,0,99.9998668271,0.0570596694699,0.00374398364746,99.9998831762,54.9820497676,0.160433766893,6.80713832394,0.0,0.0016549866554,1345.83374492
0.001,856,0,0,0,0,0,99.9998668271,0.0570596694699,0.00374398364746,99.9998831762,54.9820497676,0.160433766893,6.80713832394,0.0,0.0016549866554,1345.83374492
0.002,856,0,0,0,0,0,99.9996953906,0.113069385447,0.0085932215403,99.9997596834,54.9822018439,0.160639977785,6.76586641047,0.0,0.0016632051114,1345.79183808
0.003,856,0,0,0,0,0,99.9994531111,0.169093163524,0.0134436769149,99.9995969779,54.9824021135,0.161429844586,6.70627710674,0.0,0.00166363779157,1345.73037862
0.004,856,0,0,0,0,0,99.9991400714,0.225109750937,0.0182935092881,99.9993951185,54.9826505734,0.166522547146,6.60168925999,0.0,0.00166785844229,1345.66351304
0.005,856,0,0,0,0,0,99.9987561924,0.281133250056,0.0231439391714,99.9991540543,54.9829472227,0.164816082714,6.52689822842,0.0,0.00166641487663,1345.58706798
0.006,856,0,0,0,0,0,99.9983015137,0.337156550197,0.027994350482,99.9988738129,54.9832920584,0.165460318057,6.45095067142,0.0,0.00166117613409,1345.50492138
0.007,856,0,0,0,0,0,99.9977761015,0.393172540754,0.0328441271443,99.9985544327,54.983685082,0.168587240772,6.35763587677,0.0,0.00166253504986,1345.43280855
0.008,856,0,0,0,0,0,99.9971798984,0.449188253039,0.0376938774682,99.9981958765,54.9841262951,0.169149652163,6.29316645985,0.0,0.00166026437426,1345.36549646
0.009,856,0,0,0,0,0,99.9965127361,0.505217789124,0.0425448219375,99.997798048,54.9846156918,0.169194267614,6.19191852547,0.0,0.00165386992607,1345.27208673
0.01,856,0,0,0,0,0,99.9957749512,0.561232825879,0.0473945079322,99.9973611483,54.9851532711,0.169320272961,6.11452052517,0.0,0.0016540263854,1345.15321
0.011,856,0,0,0,0,0,99.9949663754,0.617247465376,0.052244155936,99.996885073,54.9857390368,0.169764979967,6.10136421448,0.0,0.00165534409512,1345.03754504
0.012,856,0,0,0,0,0,99.9940870087,0.673261667955,0.057093762065,99.9963698225,54.9863729877,0.169108048577,6.08453301363,0.0,0.00165485752451,1344.92159618
0.013,856,0,0,0,0,0,99.993136851,0.729275393955,0.0619433224355,99.9958153969,54.9870551225,0.170957458768,6.07541889567,0.0,0.00164997941161,1344.7939311
0.014,856,0,0,0,0,0,99.9921156447,0.785302744894,0.0667940574782,99.9952216506,54.9877854348,0.170423277443,6.12031903549,0.0,0.00164758154587,1344.65795703
0.015,856,0,0,0,0,0,99.9910239051,0.841315398743,0.0716435146786,99.9945888835,54.9885639232,0.171140369708,6.1895624909,0.0,0.0016451482026,1344.53239928
0.016,856,0,0,0,0,0,99.9898613746,0.897327457018,0.0764929144673,99.9939169422,54.9893905909,0.168903958558,6.21357863802,0.0,0.00164234551834,1344.40227219
0.017,856,0,0,0,0,0,99.9886280531,0.953338880056,0.0813422529603,99.9932058268,54.9902654364,0.169736681007,6.23251761017,0.0,0.00164019801203,1344.26302405
0.018,856,0,0,0,0,0,99.9873239406,1.00934962819,0.0861915262732,99.9924555377,54.9911884578,0.168185839862,6.21302873897,0.0,0.00164074216689,1344.12692911
0.019,856,0,0,0,0,0,99.9859486901,1.06537380214,0.091041954759,99.9916658799,54.9921596483,0.16528930641,6.20023347456,0.0,0.00164139904235,1343.97978819
0.02,856,0,0,0,0,0,99.9845029957,1.12138308147,0.0958910860574,99.9908372523,54.993179006,0.16699970592,6.15331139998,0.0,0.00164281352506,1343.82831898
0.021,856,0,0,0,0,0,99.9829865104,1.17739156689,0.100740140521,99.989969452,54.9942465336,0.167889985216,6.10240542994,0.0,0.0016461822531,1343.67417024
0.022,856,0,0,0,0,0,99.9813992341,1.23339921873,0.105589114266,99.9890624794,54.9953622288,0.170166225936,6.07610745132,0.0,0.00164944345953,1343.51282787
0.023,856,0,0,0,0,0,99.9797411669,1.28940599733,0.110438003406,99.9881163348,54.9965260892,0.170006858544,6.03658316677,0.0,0.00164877185305,1343.34514422
