time_Myr,N_stars,N_BH,N_NS,N_WD,N_Merged,N_VMS,COM_x_pc,COM_y_pc,COM_z_pc,orbital_radius_pc,velocity_kms,cluster_radius_pc,velocity_dispersion_kms,avg_q,avg_friction_accel_km_s_Myr,avg_gas_density_Msun_pc3
0.0,856,0,0,0,0,0,99.9993161577,-0.0010125367562,-9.39136237019e-05,99.9993161629,54.8956336679,0.154101478067,6.60327698231,0.0,0.0,1346.09699423
0.001,856,0,0,0,0,0,99.9992228566,0.0549154303494,0.00479989560975,99.9992380505,54.8957298959,0.156838625122,6.61478419836,0.0,0.00166191432486,1346.06765181
0.001,856,0,0,0,0,0,99.9992228566,0.0549154303494,0.00479989560975,99.9992380505,54.8957298959,0.156838625122,6.61478419836,0.0,0.00166191432486,1346.06765181
0.002,856,0,0,0,0,0,99.9990587395,0.11085041789,0.00969431866485,99.9991206491,54.8958745104,0.15833567147,6.5822652122,0.0,0.00166499021635,1346.02542378
0.003,856,0,0,0,0,0,99.9988238625,0.166774737823,0.0145878073485,99.9989639972,54.8960675125,0.156402424438,6.56698570364,0.0,0.00166103728498,1345.95465539
0.004,856,0,0,0,0,0,99.9985181946,0.222698939626,0.0194812843071,99.9987680697,54.8963089053,0.155310334395,6.48148403235,0.0,0.00165858208965,1345.85486414
0.005,856,0,0,0,0,0,99.9981416407,0.278637102377,0.0243759810331,99.9985328113,54.8965986834,0.156040648066,6.41270968696,0.0,0.00165864047456,1345.74206745
0.006,856,0,0,0,0,0,99.9976944472,0.334553889829,0.0292688050833,99.9982583735,54.8969368488,0.154396673317,6.36728330416,0.0,0.00165819462512,1345.62774072
0.007,856,0,0,0,0,0,99.9971763409,0.390484558962,0.0341628410561,99.9979445861,54.8973234034,0.156086467881,6.3471565004,0.0,0.00165306292412,1345.52287954
0.008,856,0,0,0,0,0,99.996587509,0.446407892311,0.0390562319304,99.9975915652,54.8977583438,0.157473852629,6.34155975101,0.0,0.00165454220135,1345.42840422
0.009,856,0,0,0,0,0,99.9959277194,0.502345027973,0.0439508268726,99.9971991741,54.8982416668,0.1565491927,6.365961304,0.0,0.00165095585656,1345.34055158
0.01,856,0,0,0,0,0,99.9951973975,0.558260630368,0.0488435335058,99.9967676637,54.898773374,0.157958339896,6.38404917663,0.0,0.0016513087458,1345.24433011
0.011,856,0,0,0,0,0,99.9943960912,0.614189955746,0.053737436356,99.9962967648,54.8993534667,0.158078565029,6.43620372282,0.0,0.0016551339343,1345.14962464
0.012,856,0,0,0,0,0,99.993524095,0.67011178713,0.0586306784503,99.9957866527,54.8999819413,0.158885324714,6.51589983797,0.0,0.00165007952053,1345.05450471
0.013,856,0,0,0,0,0,99.9925813076,0.726033144036,0.0635238735532,99.9952372664,54.900658799,0.159747130943,6.5803396219,0.0,0.00164841826067,1344.95738228
0.014,856,0,0,0,0,0,99.9915676012,0.781961045799,0.0684176354113,99.9946485338,54.9013840358,0.159384779835,6.5409471437,0.0,0.00164713408777,1344.8304401
0.015,856,0,0,0,0,0,99.9904832316,0.83788133496,0.0733107247747,99.9940206036,54.9021576502,0.159530821817,6.5481102197,0.0,0.00164487536595,1344.68799208
0.016,856,0,0,0,0,0,99.9893279251,0.893808089638,0.0782043730409,99.9933533177,54.9029796406,0.159035419963,6.53907836411,0.0,0.00164194664968,1344.53018821
