collision_id,q_value,retain_fraction,bh_probability
1,1.0,0.4625,0.1
2,0.626856435644,0.65026193056,0.0813428217822
3,1.0,0.4625,0.1
4,0.420739304998,0.656227274468,0.14103696525
5,0.737562756732,0.648697648126,0.15
6,0.671189256542,0.649532357158,0.15
7,0.410189222341,0.469059970612,0.140509461117
8,0.476855484073,0.654087591453,0.103842774204
9,0.387602580156,0.469804117901,0.139380129008
10,0.910009691264,0.647616541243,0.15
11,0.671189256542,0.649532357158,0.15
12,0.626856435644,0.65026193056,0.0813428217822
13,0.654118043655,0.464139661061,0.15
14,0.340141467846,0.377273134794,0.137007073392
15,0.476855484073,0.654087591453,0.103842774204
16,0.592557542046,0.46495455952,0.109627877102
17,0.49364287303,0.466809745054,0.104682143652
18,1.0,0.4625,0.1
19,0.893867060274,0.462617769457,0.15
20,1.0,0.4625,0.1
