collision_id,q_value,retain_fraction,bh_probability
1,1.0,0.4625,0.1
2,1.0,0.4625,0.1
3,1.0,0.4625,0.1
4,0.969572493534,0.647512529914,0.15
5,0.578334142012,0.372141214759,0.148916707101
6,0.476855484073,0.654087591453,0.103842774204
7,0.576332258676,0.65129240379,0.108816612934
8,1.0,0.4625,0.1
9,1.0,0.4625,0.1
10,0.420739304998,0.656227274468,0.14103696525
11,1.0,0.4625,0.1
12,0.451278260781,0.467860856977,0.102563913039
13,0.420739304998,0.656227274468,0.14103696525
14,1.0,0.4625,0.1
15,1.0,0.4625,0.1
16,0.719906879982,0.463494549224,0.15
17,0.917180155406,1.0,1.0
18,0.420739304998,0.656227274468,0.14103696525
19,0.451278260781,0.467860856977,0.102563913039
20,0.295278565997,1.0,1.0
21,1.0,0.4625,0.1
22,0.406087471974,1.0,1.0
23,0.328430539774,1.0,1.0
