collision_id,q_value,retain_fraction,bh_probability
1,0.626856435644,0.65026193056,0.0813428217822
2,1.0,0.6475,0.15
3,0.626856435644,0.65026193056,0.0813428217822
4,0.476855484073,0.654087591453,0.103842774204
5,1.0,0.4625,0.1
6,0.563729014511,0.37233512927,0.148186450726
7,0.852315161394,0.647833734701,0.15
8,0.462345960749,0.654596837637,0.103117298037
9,1.0,0.4625,0.1
10,0.350618352245,0.376935151984,0.137530917612
11,1.0,0.4625,0.1
12,0.53569539926,0.652299048192,0.106784769963
13,1.0,0.4625,0.1
14,0.764913163856,0.648431470791,0.0882456581928
15,1.0,0.4625,0.1
