collision_id,q_value,retain_fraction,bh_probability
1,1.0,0.4625,0.1
2,0.420739304998,0.656227274468,0.14103696525
3,1.0,0.4625,0.1
4,1.0,0.4625,0.1
5,1.0,0.4625,0.1
6,0.910009691264,0.647616541243,0.15
7,0.420739304998,0.656227274468,0.14103696525
8,0.626856435644,0.65026193056,0.0813428217822
9,0.340141467846,0.377273134794,0.137007073392
10,0.451278260781,0.467860856977,0.102563913039
11,1.0,0.4625,0.1
12,1.0,0.4625,0.1
13,1.0,0.4625,0.1
14,0.626856435644,0.65026193056,0.0813428217822
15,0.451278260781,0.467860856977,0.102563913039
