collision_id,q_value,retain_fraction,bh_probability
1,0.53569539926,0.652299048192,0.106784769963
2,1.0,0.6475,0.15
3,0.420739304998,0.656227274468,0.14103696525
4,0.476855484073,0.654087591453,0.103842774204
5,0.49364287303,0.466809745054,0.104682143652
6,0.702710186304,0.370914533975,0.15
7,1.0,0.4625,0.1
8,1.0,0.4625,0.1
9,1.0,0.4625,0.1
10,1.0,0.4625,0.1
11,0.475850427979,0.467229955421,0.103792521399
12,1.0,0.4625,0.1
13,1.0,0.4625,0.1
14,1.0,0.4625,0.1
15,0.925,0.462556923596,0.07625
16,0.626856435644,0.65026193056,0.0813428217822
17,1.0,0.4625,0.1
18,0.534768833511,0.465945743352,0.106738441676
19,0.977632506402,0.462504797055,0.12888162532
20,0.746028995202,0.463293408117,0.0873014497601
21,1.0,0.4625,0.1
22,0.451278260781,0.467860856977,0.102563913039
23,0.592557542046,0.46495455952,0.109627877102
24,0.626856435644,0.65026193056,0.0813428217822
25,1.0,0.4625,0.1
26,0.592557542046,0.46495455952,0.109627877102
27,1.0,0.4625,0.1
