collision_id,q_value,retain_fraction,bh_probability
1,0.462345960749,0.654596837637,0.103117298037
2,1.0,0.4625,0.1
3,0.910009691264,0.647616541243,0.15
4,0.655807831524,0.464120366933,0.0627903915762
5,0.53569539926,0.652299048192,0.106784769963
6,0.764913163856,0.648431470791,0.0882456581928
7,0.927882875651,0.462552474315,0.15
8,0.713300945897,0.370840052572,0.15
9,1.0,0.6475,0.15
10,0.535351831649,0.46593450303,0.106767591582
11,0.434147002664,0.374670261053,0.141707350133
12,0.987287745704,0.647502148241,0.15
13,1.0,0.4625,0.1
14,1.0,0.4625,0.1
15,0.370582420329,1.0,1.0
16,1.0,0.4625,0.1
17,0.270383170565,1.0,1.0
