collision_id,q_value,retain_fraction,bh_probability
1,0.626856435644,0.65026193056,0.0813428217822
2,0.462345960749,0.654596837637,0.103117298037
3,0.626856435644,0.65026193056,0.0813428217822
4,0.476855484073,0.654087591453,0.103842774204
5,0.476855484073,0.654087591453,0.103842774204
6,0.420739304998,0.656227274468,0.14103696525
7,0.871104084642,0.647749139002,0.15
8,0.347142905427,1.0,1.0
9,0.921499183514,0.462562589172,0.15
10,1.0,0.4625,0.1
11,0.557349425623,1.0,1.0
12,1.0,0.4625,0.1
13,0.165465920122,1.0,1.0
14,0.141974052836,1.0,1.0
15,0.120518796502,1.0,1.0
16,0.263706304295,1.0,1.0
17,0.0877985706137,1.0,1.0
18,1.0,0.4625,0.1
19,0.0807121584689,1.0,1.0
