time_Myr,collision_id,primary_type,secondary_type,primary_mass,secondary_mass,q_value,total_mass,retain_frac,hydrogen_factor,new_mass,bh_probability,remnant_type,spectral_label,mass_loss_percent,metallicity,recipe_type,collision_count,is_merger,event_type
0.758,1,Unclassified,Unclassified,30.39,30.39,1.0,60.78,0.4625,0.5,28.11075,0.1,Merged Star,Merged,53.75,0.008,Unclassified,1,False,normal_collision
0.79,2,Unclassified,Unclassified,30.39,30.39,1.0,60.78,0.4625,0.5,28.11075,0.1,Merged Star,Merged,53.75,0.008,Unclassified,1,False,normal_collision
0.811,3,O5.5-6 la,O7-8 la+,72.23,63.73,0.882320365499,135.96,0.647705198812,0.7,88.0619988305,0.15,Very Massive Star,VMS,35.2294801188,0.008,O,1,False,normal_collision
0.853,4,Unclassified,Unclassified,30.39,30.39,1.0,60.78,0.4625,0.5,28.11075,0.1,Merged Star,Merged,53.75,0.008,Unclassified,1,False,normal_collision
0.998,5,O5.5-6 la,O5.5-6 la,72.23,72.23,1.0,144.46,0.6475,0.7,93.53785,0.15,Very Massive Star,VMS,35.25,0.008,O,1,False,normal_collision
1.45,6,VMS,O6-6.5 III,93.53785,65.73,0.702710186304,159.26785,0.370914533975,0.4,59.0747603599,0.15,Merged Star,Merged,62.9085466025,0.008,VMS,2,True,normal_collision
1.776,7,VMS,O6-8 V,88.0619988305,48.48,0.550521230994,136.541998831,0.372521065827,0.4,50.8647709345,0.14752606155,Merged Star,Merged,62.7478934173,0.008,VMS,2,True,normal_collision
2.16,8,O4-5 I-III,Unclassified,39.73,30.39,0.764913163856,70.12,0.648431470791,0.7,45.4680147319,0.0882456581928,Merged Star,Merged,35.1568529209,0.008,O,1,False,normal_collision
2.232,9,Merged,O4-5 la+,45.4680147319,35.53,0.781428443918,80.9980147319,0.463064523196,0.5,37.5073070716,0.119071422196,Black Hole,BH,53.6935476804,0.008,Merged,2,True,normal_collision
2.428,10,Unclassified,Unclassified,30.39,30.39,1.0,60.78,0.4625,0.5,28.11075,0.1,Merged Star,Merged,53.75,0.008,Unclassified,1,False,normal_collision
