collision_id,q_value,retain_fraction,bh_probability
1,1.0,0.4625,0.1
2,0.420739304998,0.656227274468,0.14103696525
3,1.0,0.4625,0.1
4,0.512667866537,0.652949068131,0.145633393327
5,0.420739304998,0.656227274468,0.14103696525
6,0.932327881848,0.647564389819,0.15
7,0.789330907867,0.370415854662,0.15
8,0.507304921279,0.466506687602,0.105365246064
9,1.0,0.4625,0.1
10,1.0,0.4625,0.1
11,0.462345960749,0.654596837637,0.103117298037
12,1.0,0.4625,0.1
13,0.783017528496,0.463055353286,0.15
14,1.0,0.4625,0.1
15,1.0,0.6475,0.13
16,0.863076220904,0.647783567081,0.15
17,0.383095030457,0.469960428345,0.139154751523
18,1.0,0.4625,0.1
