collision_id,q_value,retain_fraction,bh_probability
1,0.420739304998,0.656227274468,0.14103696525
2,0.462345960749,0.654596837637,0.103117298037
3,0.932327881848,0.647564389819,0.15
4,1.0,0.4625,0.1
5,0.389183857123,0.657649878883,0.139459192856
6,1.0,0.4625,0.1
7,0.7051191745,1.0,1.0
8,0.197194395743,1.0,1.0
9,0.307476533703,1.0,1.0
10,1.0,0.4625,0.1
11,0.116529993634,1.0,1.0
12,0.109377410754,1.0,1.0
13,0.101705930473,1.0,1.0
14,0.092316767714,1.0,1.0
15,0.177233252755,1.0,1.0
16,0.0717909117321,1.0,1.0
