time_Myr,N_stars,N_BH,N_NS,N_WD,N_Merged,N_VMS,COM_x_pc,COM_y_pc,COM_z_pc,orbital_radius_pc,velocity_kms,cluster_radius_pc,velocity_dispersion_kms,avg_q,avg_friction_accel_km_s_Myr,avg_gas_density_Msun_pc3
0.0,856,0,0,0,0,0,100.000910716,-5.50392286076e-05,-0.000767454780185,100.000910718,55.0584392316,0.148281504018,6.61741704888,0.0,0.0,1346.00035243
0.001,856,0,0,0,0,0,100.000857107,0.0560520802636,0.00411155686565,100.000872901,55.0584856772,0.147358510657,6.69209953517,0.0,0.00163872696952,1345.99310613
0.001,856,0,0,0,0,0,100.000857107,0.0560520802636,0.00411155686565,100.000872901,55.0584856772,0.147358510657,6.69209953517,0.0,0.00163872696952,1345.99310613
0.002,856,0,0,0,0,0,100.000732738,0.112137918095,0.00898871797365,100.000796016,55.0585801392,0.142210203436,6.7075708277,0.0,0.00164447929008,1345.97741235
0.003,856,0,0,0,0,0,100.000537551,0.168234297498,0.0138667954029,100.000680026,55.0587226211,0.139600786086,6.75127045476,0.0,0.00164884868448,1345.96371419
0.004,856,0,0,0,0,0,100.000271569,0.224330557784,0.0187448616585,100.000524946,55.0589131189,0.139422666024,6.72428930774,0.0,0.00164664029117,1345.94441532
0.005,856,0,0,0,0,0,99.9999347716,0.280430199544,0.0236232206945,100.000330767,55.0591516309,0.138787134187,6.82305819291,0.0,0.00164262931032,1345.91736462
0.006,856,0,0,0,0,0,99.9995272263,0.336522562164,0.0285009450232,100.000097526,55.0594381578,0.136421494804,6.99793350604,0.0,0.00164514056978,1345.87843906
0.007,856,0,0,0,0,0,99.9990488306,0.392621767094,0.0333792621755,99.9998251651,55.0597726989,0.136885978952,7.1629331575,0.0,0.00164573158415,1345.81173775
0.008,856,0,0,0,0,0,99.9984997051,0.448713613519,0.0382569368128,99.9995137526,55.0601552533,0.137376080586,7.27307089702,0.0,0.00164897657122,1345.73897103
0.009,856,0,0,0,0,0,99.9978797894,0.504805142279,0.0431345807446,99.9991632525,55.0605858227,0.136052560645,7.37411190233,0.0,0.00165165157256,1345.64883142
0.01,856,0,0,0,0,0,99.9971889093,0.560910474526,0.0480134214731,99.9987735705,55.0610644011,0.133733900086,7.28915738249,0.0,0.00165313741217,1345.56099449
0.011,856,0,0,0,0,0,99.9964275096,0.616994168438,0.0528903765741,99.9983449557,55.0615909901,0.134962257941,7.20103372462,0.0,0.00165496579004,1345.47679185
0.012,856,0,0,0,0,0,99.9955951186,0.673091586256,0.0577685206429,99.9978771405,55.0621655909,0.13593276026,7.07787312722,0.0,0.00165224714487,1345.36724708
0.013,856,0,0,0,0,0,99.9946920425,0.729181447232,0.0626460026847,99.9973702993,55.0627881999,0.13458426583,7.01319360548,0.0,0.00165584914793,1345.24584759
0.014,856,0,0,0,0,0,99.9937181149,0.78527433208,0.0675237423277,99.996824338,55.0634588172,0.136318027329,7.00858258511,0.0,0.00166343242072,1345.09446845
0.015,856,0,0,0,0,0,99.9926733928,0.84136666095,0.0724014278204,99.9962392896,55.0641774402,0.136179350634,6.94820701989,0.0,0.00166463442709,1344.92986546
0.016,856,0,0,0,0,0,99.9915579466,0.897454854097,0.0772787474217,99.9956151929,55.0649440686,0.13712723836,6.92800778781,0.0,0.00165660760787,1344.75055166
0.017,856,0,0,0,0,0,99.9903715607,0.953549491845,0.082156620722,99.9949519285,55.0657586998,0.137542250801,6.95437606794,0.0,0.0016554632187,1344.55685304
0.018,856,0,0,0,0,0,99.9891145345,1.00963637453,0.0870338124942,99.9942496641,55.066621332,0.135323924147,6.97763747218,0.0,0.00165579972124,1344.35165733
0.019,856,0,0,0,0,0,99.9877863831,1.065736702,0.0919121657768,99.993508131,55.0675319611,0.135767865934,7.02830655723,0.0,0.00166616923582,1344.14576809
0.02,856,0,0,0,0,0,99.986387777,1.12182211535,0.0967892140908,99.9927277041,55.0684905851,0.134879889139,7.00965445765,0.0,0.00166673816859,1343.94533086
