collision_id,q_value,retain_fraction,bh_probability
1,0.557508237879,0.651737492849,0.107875411894
2,0.895631504087,0.647659144018,0.15
3,0.741217386952,0.370662651907,0.15
4,1.0,0.6475,0.15
5,0.923659098388,0.46255905948,0.0761829549194
6,0.324895216215,0.377789338217,0.136244760811
7,0.626856435644,0.65026193056,0.0813428217822
8,0.780254959125,0.648299895145,0.15
9,1.0,0.4625,0.1
10,0.639058805479,0.464318507513,0.15
11,0.526378790876,0.466110512945,0.106318939544
12,1.0,0.4625,0.1
13,0.420739304998,0.656227274468,0.14103696525
14,0.626856435644,0.65026193056,0.0813428217822
15,0.626856435644,0.65026193056,0.0813428217822
16,0.592557542046,0.46495455952,0.109627877102
