time_Myr,collision_id,primary_type,secondary_type,primary_mass,secondary_mass,q_value,total_mass,retain_frac,hydrogen_factor,new_mass,bh_probability,remnant_type,spectral_label,mass_loss_percent,metallicity,recipe_type,collision_count,is_merger,event_type
0.801,1,Unclassified,Unclassified,30.39,30.39,1.0,60.78,0.4625,0.5,28.11075,0.1,Merged Star,Merged,53.75,0.008,Unclassified,1,False,normal_collision
1.024,2,O6-6.5 III,Unclassified,65.73,30.39,0.462345960749,96.12,0.654596837637,0.7,62.9198480337,0.103117298037,Merged Star,Merged,34.5403162363,0.008,O,1,False,normal_collision
1.205,3,Unclassified,Unclassified,30.39,30.39,1.0,60.78,0.4625,0.5,28.11075,0.1,Merged Star,Merged,53.75,0.008,Unclassified,1,False,normal_collision
1.519,4,Merged,Unclassified,62.9198480337,30.39,0.482995444994,93.3098480337,0.467057643718,0.5,43.5810777583,0.10414977225,Merged Star,Merged,53.2942356282,0.008,Merged,2,True,normal_collision
1.576,5,Unclassified,Unclassified,30.39,30.39,1.0,60.78,0.4625,0.5,28.11075,0.1,Merged Star,Merged,53.75,0.008,Unclassified,1,False,normal_collision
1.624,6,O6-6.5 III,Unclassified,65.73,30.39,0.462345960749,96.12,0.654596837637,0.7,62.9198480337,0.103117298037,Merged Star,Merged,34.5403162363,0.008,O,1,False,normal_collision
1.709,7,O5.5-6 la,O6-8 V,72.23,48.48,0.671189256542,120.71,0.649532357158,0.7,78.4050508326,0.15,Merged Star,Merged,35.0467642842,0.008,O,1,False,normal_collision
1.737,8,Merged,Unclassified,78.4050508326,30.39,0.387602580156,108.795050833,0.469804117901,0.5,51.1123628883,0.139380129008,Merged Star,Merged,53.0195882099,0.008,Merged,2,True,normal_collision
1.759,9,O7-8 la+,Unclassified,63.73,30.39,0.476855484073,94.12,0.654087591453,0.7,61.5627241075,0.103842774204,Merged Star,Merged,34.5912408547,0.008,O,1,False,normal_collision
1.823,10,O5.5-6 la,Merged,72.23,51.1123628883,0.707633433315,123.342362888,0.649038953227,0.7,80.0539980976,0.15,Very Massive Star,VMS,35.0961046773,0.008,O,3,True,normal_collision
1.841,11,O5.5-6 la,Unclassified,72.23,30.39,0.420739304998,102.62,0.656227274468,0.7,67.3420429059,0.14103696525,Merged Star,Merged,34.3772725532,0.008,O,1,False,normal_collision
1.937,12,VMS,Merged,80.0539980976,67.3420429059,0.841207741102,147.396041003,0.370223138405,0.4,54.5694248887,0.15,Merged Star,Merged,62.9776861595,0.008,VMS,5,True,normal_collision
1.985,13,Merged,Unclassified,43.5810777583,30.39,0.697320983398,73.9710777583,0.463692526218,0.5,34.2998359128,0.0848660491699,Merged Star,Merged,53.6307473782,0.008,Merged,3,True,normal_collision
2.146,14,O6-8 V,Unclassified,48.48,30.39,0.626856435644,78.87,0.65026193056,0.7,51.2861584633,0.0813428217822,Merged Star,Merged,34.973806944,0.008,O,1,False,normal_collision
2.387,15,Unclassified,Unclassified,30.39,30.39,1.0,60.78,0.4625,0.5,28.11075,0.1,Merged Star,Merged,53.75,0.008,Unclassified,1,False,normal_collision
