collision_id,q_value,retain_fraction,bh_probability
1,1.0,0.4625,0.1
2,1.0,0.4625,0.1
3,0.847462353597,0.647857900406,0.0923731176799
4,0.969397828233,0.462509054591,0.0784698914116
5,1.0,0.4625,0.1
6,1.0,0.4625,0.1
7,1.0,0.4625,0.1
8,0.576332258676,0.65129240379,0.108816612934
9,0.969572493534,0.647512529914,0.15
10,0.420739304998,0.656227274468,0.14103696525
11,1.0,0.4625,0.1
12,0.80334576331,0.37035675483,0.15
13,0.671189256542,0.649532357158,0.15
14,1.0,0.4625,0.1
15,0.420739304998,0.656227274468,0.14103696525
16,0.387602580156,0.469804117901,0.139380129008
17,1.0,0.4625,0.1
18,0.476855484073,0.654087591453,0.103842774204
19,0.823602991069,0.647991225774,0.15
20,0.91417963357,0.462575378348,0.15
21,1.0,0.4625,0.1
