time_Myr,N_stars,N_BH,N_NS,N_WD,N_Merged,N_VMS,COM_x_pc,COM_y_pc,COM_z_pc,orbital_radius_pc,velocity_kms,cluster_radius_pc,velocity_dispersion_kms,avg_q,avg_friction_accel_km_s_Myr,avg_gas_density_Msun_pc3
0.0,856,0,0,0,0,0,100.004105478,0.00628592353791,-0.00357196151776,100.00410574,55.0049309387,0.159744133099,6.80853080803,0.0,0.0,1345.08755083
0.001,856,0,0,0,0,0,100.004095257,0.0623221126024,0.00140775977084,100.004114686,55.0049203085,0.160225413847,6.84107807136,0.0,0.0016302893495,1345.07162394
0.001,856,0,0,0,0,0,100.004095257,0.0623221126024,0.00140775977084,100.004114686,55.0049203085,0.160225413847,6.84107807136,0.0,0.0016302893495,1345.07162394
0.002,856,0,0,0,0,0,100.004014238,0.118358257916,0.00638748005636,100.004084483,55.0049578122,0.162165069709,6.80701837369,0.0,0.00163092484567,1345.03172826
0.003,856,0,0,0,0,0,100.003862441,0.174387247228,0.0113665668381,100.004015136,55.0050434521,0.163590063039,6.71276468331,0.0,0.00163085133303,1344.97414253
0.004,856,0,0,0,0,0,100.003639857,0.230416113472,0.0163456446446,100.003906641,55.0051772302,0.166493436766,6.6208163305,0.0,0.00162720032609,1344.91416933
0.005,856,0,0,0,0,0,100.00334641,0.28645896208,0.0213259665125,100.003758963,55.0053591414,0.16657663115,6.57153928551,0.0,0.0016314897493,1344.85556544
0.006,856,0,0,0,0,0,100.002982249,0.342487463201,0.0263050144107,100.003572178,55.0055891849,0.166879099916,6.4868044388,0.0,0.00163124464786,1344.78404792
0.007,856,0,0,0,0,0,100.0025473,0.398515722266,0.0312840413758,100.003346244,55.0058673651,0.170214906347,6.45634693348,0.0,0.00162988988079,1344.70749391
0.008,856,0,0,0,0,0,100.002041563,0.454543699615,0.0362630434221,100.003081162,55.0061936812,0.169609786794,6.41460976648,0.0,0.00163152877664,1344.61677179
0.009,856,0,0,0,0,0,100.001465038,0.510571355588,0.0412420165642,100.002776931,55.0065681324,0.173110003026,6.33357612089,0.0,0.00162694452726,1344.51906637
0.01,856,0,0,0,0,0,100.000817562,0.566612795258,0.0462222138072,100.002433469,55.0069907128,0.17264006253,6.27469343602,0.0,0.00162592185611,1344.41260229
0.011,856,0,0,0,0,0,100.000099461,0.622639689483,0.0512011171832,100.002050949,55.0074614213,0.174442652034,6.21648798578,0.0,0.00162537266845,1344.29999985
0.012,856,0,0,0,0,0,99.9993105727,0.678666143337,0.0561799796974,100.001629281,55.0079802618,0.171329813476,6.11113695164,0.0,0.00162785739335,1344.17137481
0.013,856,0,0,0,0,0,99.9984508962,0.734692117157,0.0611587973641,100.001168466,55.008547233,0.171008910729,6.0146977139,0.0,0.0016278966713,1344.03632161
0.014,856,0,0,0,0,0,99.997520197,0.790731715548,0.0661388231452,100.00066838,55.0091623286,0.172300047625,5.9353965459,0.0,0.00162966757871,1343.88056483
0.015,856,0,0,0,0,0,99.9965190713,0.846749538232,0.0711169106917,100.000129344,55.0098255496,0.174357243033,5.89327969794,0.0,0.00163251763017,1343.72247452
0.016,856,0,0,0,0,0,99.9954468962,0.902780905936,0.0760961983598,99.9995510188,55.0105368969,0.173124285933,5.86173481716,0.0,0.00163016544522,1343.55637656
0.017,856,0,0,0,0,0,99.9943040688,0.958804562947,0.0810747967759,99.9989336219,55.0112963664,0.171793704867,5.92407006123,0.0,0.00163001318651,1343.37644884
0.018,856,0,0,0,0,0,99.9930904537,1.01482754159,0.0860533304135,99.9982770782,55.0121039586,0.171659886634,5.95962456503,0.0,0.00163302462013,1343.19615518
0.019,856,0,0,0,0,0,99.991805889,1.07085687392,0.0910324237214,99.9975813022,55.0129596694,0.172273024864,6.03291006669,0.0,0.00163952090725,1343.00145595
0.02,856,0,0,0,0,0,99.9904505278,1.12688544844,0.0960114442679,99.9968463791,55.0138634943,0.172629693914,6.12856087188,0.0,0.00164086473059,1342.79212986
0.021,856,0,0,0,0,0,99.9890245502,1.18290615394,0.100989759648,99.9960724049,55.0148154338,0.173073640313,6.23268440731,0.0,0.00164377419402,1342.5735382
0.022,856,0,0,0,0,0,99.9875274074,1.23894016524,0.105969251115,99.9952590839,55.0158154832,0.174141721984,6.32300478482,0.0,0.00165017068783,1342.35448902
0.023,856,0,0,0,0,0,99.9859602508,1.2949450143,0.110946144262,99.9944070381,55.0168636452,0.16976805596,6.36783719012,0.0,0.00165692148685,1342.13372407
0.024,856,0,0,0,0,0,99.9843214976,1.350977232,0.115925462268,99.9935154074,55.0179599177,0.16781873726,6.38913358465,0.0,0.00165516916446,1341.90361579
