collision_id,q_value,retain_fraction,bh_probability
1,1.0,0.4625,0.1
2,0.882320365499,0.647705198812,0.15
3,0.671189256542,0.649532357158,0.15
4,1.0,0.4625,0.1
5,0.387602580156,0.469804117901,0.139380129008
6,1.0,0.4625,0.1
7,1.0,0.4625,0.1
8,0.345097776607,0.377111586139,0.13725488883
9,0.626856435644,0.65026193056,0.0813428217822
10,0.592557542046,0.46495455952,0.109627877102
11,0.626856435644,0.65026193056,0.0813428217822
12,0.671189256542,0.649532357158,0.15
13,0.420739304998,0.656227274468,0.14103696525
14,0.462345960749,0.654596837637,0.103117298037
15,0.946362736412,0.462528478488,0.15
16,0.900975901434,0.647642458339,0.15
17,0.387602580156,0.469804117901,0.139380129008
18,1.0,0.4625,0.1
19,0.501282050059,0.466638249613,0.105064102503
20,0.576332258676,0.65129240379,0.108816612934
21,1.0,0.4625,0.1
22,1.0,0.4625,0.1
23,0.435116940919,0.468309968613,0.141755847046
