time_Myr,N_stars,N_BH,N_NS,N_WD,N_Merged,N_VMS,COM_x_pc,COM_y_pc,COM_z_pc,orbital_radius_pc,velocity_kms,cluster_radius_pc,velocity_dispersion_kms,avg_q,avg_friction_accel_km_s_Myr,avg_gas_density_Msun_pc3
0.0,856,0,0,0,0,0,100.000443287,-0.000531875070095,-0.000663454844881,100.000443291,55.0095726475,0.156152969994,6.44687924643,0.0,0.0,1346.03591954
0.001,856,0,0,0,0,0,100.000361402,0.0555330658578,0.00412261555087,100.000376907,55.0096542107,0.158711640264,6.46427133406,0.0,0.00164111376498,1346.01125754
0.001,856,0,0,0,0,0,100.000361402,0.0555330658578,0.00412261555087,100.000376907,55.0096542107,0.158711640264,6.46427133406,0.0,0.00164111376498,1346.01125754
0.002,856,0,0,0,0,0,100.000208748,0.11158381671,0.00890747468867,100.000271399,55.0097839005,0.156356122368,6.49348601184,0.0,0.00164171121639,1345.97184833
0.003,856,0,0,0,0,0,99.9999853027,0.167634488475,0.0136923267285,100.000126747,55.0099617215,0.156312706459,6.53788536337,0.0,0.00164293113113,1345.92910382
0.004,856,0,0,0,0,0,99.9996910669,0.223685041473,0.0184771678367,99.9999429494,55.0101876736,0.155445189969,6.57643828957,0.0,0.00164750986183,1345.87243161
0.005,856,0,0,0,0,0,99.9993259945,0.279742511308,0.0232625981722,99.9997199815,55.0104617537,0.155138265075,6.57776060218,0.0,0.00164651399791,1345.78562514
0.006,856,0,0,0,0,0,99.9988901775,0.335792707729,0.0280474059165,99.9994578992,55.0107839612,0.153756638338,6.57254393304,0.0,0.00164011674803,1345.69371861
0.007,856,0,0,0,0,0,99.9983835059,0.391849741567,0.0328327952156,99.9991566364,55.0111542956,0.152077299101,6.53018257428,0.0,0.00163745259758,1345.58192914
0.008,856,0,0,0,0,0,99.9978061076,0.447899422681,0.0376175542616,99.9988162695,55.011572756,0.151647777376,6.49308958109,0.0,0.00163481579481,1345.46501267
0.009,856,0,0,0,0,0,99.9971579186,0.503948786618,0.0424022832084,99.9984367584,55.012039344,0.148895893469,6.46655444959,0.0,0.00163711324878,1345.35018614
0.01,856,0,0,0,0,0,99.9964387574,0.560011943914,0.0471881861742,99.9980180017,55.0125540536,0.145594913867,6.49617093038,0.0,0.00163659600564,1345.24068545
0.011,856,0,0,0,0,0,99.995648987,0.616060554443,0.0519728434224,99.9975602109,55.0131168838,0.147908090267,6.51483322807,0.0,0.00163550547592,1345.13584497
0.012,856,0,0,0,0,0,99.9947882087,0.672122878746,0.0567586670026,99.997063155,55.0137278333,0.148298240154,6.49499313828,0.0,0.00164350155129,1345.01616122
0.013,856,0,0,0,0,0,99.9938570921,0.728156427232,0.0615420292987,99.9965272165,55.0143869056,0.145997110315,6.51703143123,0.0,0.00164320521395,1344.88713657
0.014,856,0,0,0,0,0,99.9928546967,0.784217759761,0.0663277581568,99.9959518544,55.0150940994,0.14404936891,6.57581664965,0.0,0.00164244344047,1344.74674265
0.015,856,0,0,0,0,0,99.9917817636,0.840264387241,0.0711122260086,99.9953374986,55.0158494081,0.145995812981,6.64734441255,0.0,0.00164339622331,1344.60525856
0.016,856,0,0,0,0,0,99.9906381842,0.896303345009,0.0758960329888,99.9946840806,55.0166528376,0.145012099602,6.72299435627,0.0,0.00165129948061,1344.4606953
