time_Myr,N_stars,N_BH,N_NS,N_WD,N_Merged,N_VMS,COM_x_pc,COM_y_pc,COM_z_pc,orbital_radius_pc,velocity_kms,cluster_radius_pc,velocity_dispersion_kms,avg_q,avg_friction_accel_km_s_Myr,avg_gas_density_Msun_pc3
0.0,856,0,0,0,0,0,100.000451786,0.000273876937162,0.000267229270612,100.000451787,55.0377619265,0.158771626618,6.68470359362,0.0,0.0,1345.80218259
0.001,856,0,0,0,0,0,100.000460148,0.0563599386182,0.00514409078909,100.000476162,55.0377318486,0.159688235613,6.66571826707,0.0,0.00165362005166,1345.82987798
0.001,856,0,0,0,0,0,100.000460148,0.0563599386182,0.00514409078909,100.000476162,55.0377318486,0.159688235613,6.66571826707,0.0,0.00165362005166,1345.82987798
0.002,856,0,0,0,0,0,100.000397717,0.11243180432,0.0100197172493,100.000461423,55.0377498315,0.160679616502,6.63900141261,0.0,0.00165072688728,1345.84499372
0.003,856,0,0,0,0,0,100.000264496,0.168503590347,0.0148953356553,100.000407572,55.0378158804,0.161846600483,6.60308400613,0.0,0.001648725361,1345.84716753
0.004,856,0,0,0,0,0,100.000060484,0.224575257004,0.0197709421023,100.000314608,55.037929995,0.161710724906,6.55202765348,0.0,0.00164934627859,1345.82353319
0.005,856,0,0,0,0,0,99.999785613,0.280660920496,0.0246477635844,100.000182503,55.0380921704,0.162211947145,6.50508884815,0.0,0.0016515550271,1345.7961309
0.006,856,0,0,0,0,0,99.9994400207,0.336732229324,0.029523334398,100.000011323,55.0383024063,0.164796894602,6.45623175113,0.0,0.00164800997602,1345.77342591
0.007,856,0,0,0,0,0,99.999023533,0.392817455478,0.0344001124252,99.9998009822,55.0385607022,0.166055577865,6.43307170595,0.0,0.00165146059533,1345.74175341
0.008,856,0,0,0,0,0,99.9985364832,0.448874091965,0.0392744011034,99.9995516451,55.0388670627,0.165545990144,6.45648238391,0.0,0.00164732905458,1345.69081198
0.009,856,0,0,0,0,0,99.9979785202,0.50494456632,0.0441498891788,99.9992631291,55.0392214921,0.164078288289,6.42458471783,0.0,0.00164066318949,1345.61273534
0.01,856,0,0,0,0,0,99.9973494496,0.561042994222,0.0490278035939,99.9989353439,55.0396239748,0.166726280362,6.40329641635,0.0,0.00163762450952,1345.51298537
0.011,856,0,0,0,0,0,99.9966501712,0.617091480607,0.0539013707043,99.9985687533,55.0400745174,0.167980489258,6.39740699788,0.0,0.00163228355929,1345.39993728
0.012,856,0,0,0,0,0,99.9958797406,0.67316784089,0.0587773563192,99.9981628572,55.0405731264,0.168901247053,6.33678300583,0.0,0.00163284858951,1345.26430217
0.013,856,0,0,0,0,0,99.9950386172,0.729236646865,0.0636526794089,99.997717903,55.0411197933,0.167487631563,6.3085582613,0.0,0.00163453315234,1345.12784486
0.014,856,0,0,0,0,0,99.9941264735,0.785319091588,0.0685291823088,99.9972337194,55.0417145144,0.166191897128,6.29009506359,0.0,0.00163693332571,1344.9882777
0.015,856,0,0,0,0,0,99.9931437702,0.841386825185,0.0734043994761,99.9967105511,55.0423572885,0.166780983432,6.27944176954,0.0,0.00163473357863,1344.85176629
0.016,856,0,0,0,0,0,99.992090277,0.89745396304,0.0782795578247,99.9961482722,55.043048119,0.167408114482,6.25519855795,0.0,0.00163208213074,1344.70079146
0.017,856,0,0,0,0,0,99.9909657101,0.95353462009,0.0831558842235,99.9955467349,55.0437869996,0.166781619023,6.26493577183,0.0,0.0016301008984,1344.54729197
0.018,856,0,0,0,0,0,99.989770939,1.0095862929,0.0880296824617,99.994906401,55.0445739335,0.169982692176,6.30098877087,0.0,0.00163086807939,1344.38243183
